program_id;tercih_eden_sayisi
101190428;1
101190433;1032
101190433;58
101190433;9
101190434;1168
101190434;29
101190434;1
101190429;583
101190429;36
101190437;1053
101190437;187
101190435;1064
101190435;66
101190435;5
101190435;1
101190430;981
101190430;82
101190430;1
101190431;961
101190431;47
101190432;547
101190432;32
101190432;2
101190436;959
101190436;63
101190436;2
101190436;1
101110015;509
101110015;19
101110024;503
101110024;40
101110033;362
101110033;7
101110042;487
101110042;24
101110042;3
101110051;104
101110051;32
101110069;471
101110069;15
101190217;237
101190217;20
101110087;604
101110087;1
101190413;544
101190413;31
101110096;610
101110096;19
101110103;338
101110103;7
101190204;18
101190421;447
101190421;50
101190216;116
101190216;1
101110121;384
101110121;2
101110139;405
101110139;12
101190201;378
101190201;31
101190201;2
101110148;416
101110148;5
101190420;623
101190420;21
101190420;1
101190420;1
101110166;282
101110166;8
101110166;3
101110175;210
101110175;24
101110175;3
101110175;1
101110184;347
101110184;7
101110184;1
101110193;539
101110193;33
101110209;240
101110209;15
101110218;455
101110218;21
101110227;259
101110227;9
101110899;377
101110899;26
101110236;318
101110236;5
101110245;238
101110245;19
101190422;387
101190422;18
101110915;310
101110915;2
101110263;808
101110263;106
101110272;305
101110272;14
101110272;3
101110281;329
101110281;5
101110299;216
101110299;9
101110306;497
101110306;21
101110315;285
101110315;7
101110324;434
101110324;22
101111094;425
101111094;14
101110333;800
101110333;19
101110342;32
101110351;238
101110351;4
101110369;2513
101110369;94
101110369;5
101190406;549
101190406;49
101110378;2469
101110378;104
101111322;1033
101111322;98
101111322;3
101110387;72
101110387;8
101111394;910
101111394;6
101111394;5
101110412;895
101110412;24
101110421;974
101110421;27
101110439;919
101110439;11
101110457;298
101110457;30
101110466;839
101110466;67
101110466;5
101111304;239
101111304;12
101110475;383
101110475;13
101110484;774
101110484;70
101110493;761
101110493;23
101110493;1
101111313;216
101111313;4
101111313;5
101110509;517
101110509;29
101111367;607
101111367;73
101111376;356
101111376;14
101110669;1563
101110669;77
101110678;2464
101110678;44
101110678;11
101110518;3886
101110518;468
101110536;2444
101110536;15
101111049;145
101111049;12
101110554;470
101110554;20
101110563;580
101110563;38
101110572;424
101110572;56
101110581;1108
101110581;126
101110581;12
101111022;770
101111022;88
101111022;6
101111288;792
101111288;123
101111288;4
101111191;880
101111191;90
101111191;1
101111446;471
101111446;45
101190209;516
101190209;29
101190211;1070
101190211;92
101190416;55
101190416;4
101190414;527
101190414;23
101190210;1132
101190210;138
101110651;1174
101110651;85
101111031;897
101111031;12
101190424;917
101190424;32
101190424;3
101111349;1240
101111349;32
101111349;4
101110696;1322
101110696;14
101110703;593
101110703;50
101110712;694
101110712;56
101110712;2
101110721;572
101110721;32
101110721;2
101190408;333
101190408;23
101110739;666
101110739;16
101110739;7
101190339;362
101190339;23
101110748;362
101110748;61
101110757;582
101110757;37
101110775;3471
101110775;175
101190208;540
101190208;76
101190340;693
101190340;25
101190340;1
101111385;658
101111385;26
101111385;2
101110784;1991
101110784;149
101110784;17
101110784;1
101111331;686
101111331;61
101111331;14
101110924;456
101110924;10
101110924;2
101110933;487
101110933;19
101110933;1
101110793;1058
101110793;45
101110793;5
101111013;426
101111013;11
101111401;309
101111401;12
101111401;2
101111004;297
101111004;4
101110942;509
101110942;17
101110942;2
101111279;479
101111279;39
101110969;455
101110969;19
101110978;539
101110978;13
101110978;3
101110987;661
101110987;24
101110987;2
101110996;591
101110996;23
101110996;2
101110996;1
110010289;1922
110010289;52
110010289;14
110090078;470
110090078;75
110010023;2610
110010023;171
110090093;377
110090093;33
110010226;687
110010226;22
110010129;879
110010129;66
110090094;359
110090094;33
110090094;1
110010244;1311
110010244;97
110010138;761
110010138;37
110010147;880
110010147;22
110010156;972
110010156;13
110010235;1497
110010235;27
110090091;869
110090091;70
110090091;2
110010183;850
110010183;44
110010183;3
110010192;683
110010192;82
110010217;548
110010217;51
110090077;552
110090077;46
110090032;1198
110090032;230
110010032;1052
110010032;140
110010032;6
110010253;1223
110010253;148
110010253;4
110010253;2
110010386;932
110010386;81
110010386;1
110090035;547
110090035;69
110010314;979
110010314;92
110010059;1203
110010059;108
110090036;653
110090036;45
110010377;783
110010377;68
110010368;919
110010368;75
110010368;1
110090073;791
110090073;13
110090074;717
110090074;49
110010298;1165
110010298;107
110010298;1
110010111;2229
110010111;64
110010111;11
110010341;1127
110010341;76
110090037;1040
110090037;38
110090037;1
110010305;1075
110010305;22
110010077;790
110010077;30
110010095;929
110010095;38
110010102;739
110010102;59
110010102;2
110010086;726
110010086;36
110090092;833
110090092;18
110090095;982
110090095;39
110010174;2463
110010174;138
110010271;11
110010014;1673
110010014;227
208590050;63
208590050;23
208590050;4
208590051;12
208590052;55
208590052;31
208590053;58
208590053;36
208590035;123
208590035;72
208590035;5
208590036;341
208590036;258
208590036;21
208510131;135
208510131;58
208510131;6
208510158;13
208510158;18
208590025;10
208590025;29
208510043;72
208510043;14
208510061;168
208510061;183
208510061;4
208590039;64
208590039;68
208590040;217
208590040;410
208590040;41
208590033;41
208590033;11
208590034;7
208590034;26
208590034;2
208510079;56
208510079;6
208510097;94
208510097;71
208510097;1
206410639;175
206410639;541
206410639;61
206410640;125
206410640;29
206410640;9
206410640;1
206410526;68
206410526;51
206410526;3
206410535;195
206410535;265
206410465;52
206410465;47
206410483;172
206410483;129
206410483;7
206410023;221
206410023;92
206410041;518
206410041;383
206410041;63
206410059;33
206410059;12
206410068;46
206410068;73
206410102;34
206410102;23
206410111;173
206410111;166
206410111;4
206410610;129
206410610;57
206410612;245
206410612;301
206410612;10
206410147;14
206410147;19
206410156;163
206410156;190
206410156;3
206410192;93
206410192;31
206410183;211
206410183;144
206410183;3
206410226;49
206410226;31
206410235;160
206410235;91
206410262;67
206410262;22
206410271;118
206410271;84
206410271;1
206410305;50
206410305;34
206410314;15
206410314;18
206410591;56
206410591;28
206410593;47
206410593;33
206410641;353
206410641;130
206410642;129
206410642;37
206410643;396
206410643;396
206410643;20
206410613;72
206410613;149
206410613;19
206410613;2
206410614;60
206410614;30
206410614;2
206410562;43
206410562;32
206410630;78
206410630;180
206410637;37
206410637;19
206410638;30
206410638;43
101210147;973
101210014;441
101210014;15
101290063;787
101290063;4
101210156;96
101290059;692
101290059;2
101290059;1
101210192;225
101210192;1
101210032;1210
101210032;1
101210041;1515
101210041;5
101210102;165
101210102;1
101210208;1549
101210208;8
101210208;2
101290077;6
101290082;794
101290082;11
101290082;7
101290082;1
101210183;899
101210183;4
101370271;1008
101370271;12
101370271;4
101370267;589
101310216;957
101310216;1
101370263;945
101370263;10
101370263;3
101310013;1240
101310013;1
101310013;6
101310146;1053
101310146;3
101310164;1037
101310261;333
101370248;1025
101370248;9
101310128;875
101310101;995
101310101;2
101370249;672
101370249;8
101310137;967
101310137;1
101330062;711
101330062;34
101330062;2
101310155;320
101310155;1
101310207;640
101310207;16
