program_id;sehir_id;yerlesen_sayisi
100210362;65;1
100210362;2;16
100210362;43;1
100210362;80;3
100210362;13;1
100210362;6;3
100210362;76;1
100210362;46;7
100210362;35;3
100210362;63;4
100210362;73;1
100210362;34;3
100210362;33;3
100210362;49;1
100210362;31;3
100210362;1;3
100210362;23;1
100210362;52;1
100210362;44;5
100210362;41;1
100210362;21;5
100210353;17;2
100210353;44;6
100210353;48;1
100210353;52;2
100210353;34;6
100210353;54;1
100210353;16;2
100210353;37;1
100210353;31;4
100210353;63;9
100210353;2;11
100210353;27;8
100210353;68;1
100210353;21;3
100210353;20;1
100210353;6;1
100210353;80;1
100210353;42;3
100210353;14;1
100210353;67;1
100210353;10;2
100210353;45;2
100210353;46;1
100210353;7;4
100210353;33;2
100210353;1;5
100210353;39;1
100210283;46;1
100210283;65;1
100210283;21;9
100210283;27;4
100210283;44;2
100210283;2;14
100210283;80;1
100210283;31;2
100210283;36;1
100210283;34;2
100210283;25;3
100210283;61;1
100210283;13;1
100210283;72;1
100210283;49;1
100210283;68;1
100210283;38;1
100210283;56;3
100210283;30;1
100210283;76;1
100210283;63;8
100210283;52;1
100210283;23;2
100210017;33;1
100210017;2;12
100210017;73;1
100210017;27;7
100210017;1;1
100210017;79;1
100210017;63;4
100210017;44;1
100210017;21;1
100210017;72;1
100210017;46;1
100210026;47;1
100210026;44;6
100210026;27;2
100210026;46;3
100210026;80;2
100210026;63;3
100210026;2;27
100210026;31;1
100210026;21;5
100210026;72;2
100210098;46;3
100210098;56;1
100210098;21;6
100210098;13;1
100210098;34;1
100210098;54;1
100210098;47;2
100210098;27;4
100210098;23;1
100210098;73;1
100210098;58;1
100210098;72;1
100210098;63;17
100210098;44;1
100210098;80;1
100210098;2;20
100290069;54;1
100290069;27;4
100290069;72;1
100290069;63;16
100290069;47;3
100290069;23;1
100290069;49;1
100290069;44;1
100290069;56;2
100290069;4;1
100290069;13;1
100290069;46;3
100290069;12;1
100290069;21;9
100290069;2;17
100210105;23;2
100210105;46;7
100210105;9;2
100210105;47;3
100210105;2;21
100210105;63;7
100210105;40;1
100210105;45;1
100210105;27;4
100210105;49;1
100210105;72;1
100210105;66;1
100210105;80;1
100210105;38;1
100210105;21;7
100210105;79;1
100210105;31;1
100210105;33;2
100210105;44;6
100210105;1;2
100210035;6;1
100210035;47;3
100210035;2;22
100210035;44;2
100210035;63;6
100210035;27;3
100210035;21;10
100210035;34;2
100210035;46;2
100210035;72;4
100210035;73;3
100210035;80;3
100210035;1;1
100210044;21;1
100210044;34;1
100210044;1;1
100210044;63;11
100210044;27;2
100210044;2;28
100210044;30;1
100210044;46;2
100210044;73;2
100210044;65;1
100210044;80;2
100210114;21;6
100210114;27;2
100210114;63;12
100210114;44;1
100210114;2;27
100210114;72;1
100210114;34;1
100210114;23;1
100210114;65;1
100210317;35;1
100210317;65;1
100210317;16;1
100210317;7;1
100210317;67;1
100210317;2;15
100210317;46;1
100210317;45;1
100210317;76;1
100210317;23;1
100210317;44;1
100210317;32;1
100210317;0;1
100210177;27;1
100210177;34;3
100210177;21;1
100210177;44;2
100210177;63;6
100210177;51;1
100210177;2;6
100210177;10;1
100290057;72;2
100290057;16;1
100290057;4;1
100290057;47;2
100290057;31;2
100290057;33;1
100290057;41;1
100290057;65;5
100290057;34;2
100290057;21;8
100290057;26;1
100290057;44;1
100290057;80;2
100290057;63;4
100290057;46;1
100290057;49;1
100290057;27;13
100290057;2;13
100290057;23;1
100210053;63;7
100210053;2;21
100210053;49;1
100210053;34;1
100210053;46;2
100210053;33;1
100210053;27;4
100210053;21;2
100210053;44;2
100210132;34;1
100210132;2;30
100210132;46;2
100210132;6;1
100210132;45;1
100210132;27;3
100210132;18;1
100210132;63;11
100210132;44;2
100210141;33;1
100210141;21;2
100210141;34;1
100210141;63;13
100210141;31;1
100210141;29;1
100210141;2;37
100210141;27;2
100210141;46;3
100210141;79;1
100210186;46;3
100210186;40;1
100210186;21;1
100210186;27;3
100210186;34;3
100210186;44;1
100210186;2;49
100210186;63;7
100210186;4;1
100210186;56;1
100210186;1;2
100210062;46;1
100210062;63;11
100210062;34;1
100210062;44;3
100210062;2;38
100210062;27;7
100210062;21;1
100210195;27;9
100210195;21;1
100210195;2;22
100210195;1;1
100210195;72;1
100210195;34;1
100210195;63;3
100210195;46;2
100210195;61;1
100210202;63;4
100210202;31;1
100210202;34;1
100210202;2;21
100210202;27;4
100290058;63;1
100290058;60;1
100290058;33;1
100290058;27;2
100290058;2;22
100290058;34;1
100290058;31;1
100290058;80;1
100290058;79;1
100210211;1;1
100210211;46;4
100210211;48;1
100210211;47;1
100210211;63;6
100210211;31;3
100210211;52;1
100210211;27;7
100210211;80;1
100210211;41;1
100210211;72;2
100210211;34;1
100210211;2;31
100210211;36;1
100210211;28;1
100210371;63;7
100210371;34;1
100210371;51;1
100210371;14;1
100210371;2;73
100210371;6;1
100210371;33;1
100210371;21;1
100210371;44;2
100210371;72;2
100210371;64;1
100210371;46;1
100210371;27;1
100210326;2;10
100210326;33;1
100210308;2;15
100210335;2;4
100290060;34;1
100290060;2;3
100290060;46;1
100210071;47;3
100210071;2;36
100210071;44;2
100210071;65;1
100210071;27;4
100210071;6;1
100210071;21;3
100210071;63;11
100210071;46;1
100210089;33;2
100210089;21;13
100210089;44;3
100210089;23;1
100210089;47;1
100210089;7;1
100210089;72;1
100210089;63;9
100210089;2;67
100210089;1;1
100210089;27;4
100210398;22;1
100210398;38;1
100210398;44;2
100210398;12;1
100210398;27;1
100210398;63;3
100210398;4;1
100210398;53;1
100210398;46;1
100210398;30;1
100210398;21;1
100210398;33;1
100210398;25;1
100210398;34;1
100210398;47;1
100210398;49;2
100210398;2;11
100210168;63;5
100210168;27;17
100210168;17;1
100210168;65;2
100210168;72;4
100210168;10;1
100210168;49;1
100210168;6;1
100210168;61;1
100210168;23;2
100210168;2;21
100210168;34;4
100210168;12;3
100210168;26;1
100210168;13;1
100210168;14;1
100210168;16;1
100210168;7;2
100210168;42;2
100210168;78;1
100210168;77;1
100210168;80;5
100210168;44;11
100210168;21;12
100210168;79;3
100210168;47;4
100210168;33;3
100210168;20;1
100210168;35;2
100210168;55;1
100210168;73;5
100210168;1;11
100210168;46;7
100210168;31;6
100290059;55;1
100290059;2;4
100290059;49;1
100290059;69;1
100290059;52;1
100290059;63;1
100290059;65;3
100290059;21;4
100290059;27;2
100290059;4;4
100290059;9;1
100290059;26;1
100290059;76;1
100290059;80;4
100290059;46;2
100290059;31;3
100290059;59;1
100290059;33;2
100290059;40;1
100290059;61;1
100290059;30;2
100410969;55;2
100410969;38;1
100410969;31;1
100410969;59;1
100410969;33;1
100410969;11;2
100410969;32;2
100410969;27;1
100410969;21;1
100410969;16;3
100410969;24;1
100410969;7;2
100410969;43;1
100410969;35;6
100410969;65;1
100410969;3;1
100410969;6;5
100410969;20;2
100410969;72;1
100410969;54;1
100410969;8;1
100410969;28;1
100410969;9;1
100410969;34;5
100410969;45;3
100410969;26;2
100410969;42;1
100410969;41;2
100410793;6;3
100410793;34;6
100410793;7;2
100410793;21;1
100410793;3;1
100410793;43;1
100410793;48;1
100410793;74;1
100410793;54;1
100410793;50;1
100410793;45;1
100410793;41;1
100410793;33;2
100410793;27;1
100410793;59;1
100410793;55;1
100410793;16;5
100410793;35;9
100410793;10;2
100490199;35;3
100490199;75;1
100490199;27;2
100490199;7;2
100490199;1;2
100490199;45;1
100490199;6;3
100490199;34;2
100490199;41;2
100490199;50;1
100490199;42;2
100490199;3;4
100490199;19;1
100490202;9;2
100490202;20;1
100490202;41;2
100490202;16;7
100490202;38;1
100490202;26;2
100490202;6;2
100490202;7;1
